source,reqs
2019_jpss_WEB,The JPSS-1 satellite shall be designed for a mission life of 7 years. [Priority 1]
2019_jpss_WEB,"Excluding on-orbit failures, JPSS-1 shall maintain an Operational Availability of greater than or equal to 98% over any 30 day period for the mission lifetime. [Priority 1]"
2019_jpss_WEB,"JPSS-1 shall be operated in a polar sun-synchronous orbit with the following characteristics: altitude of 824 +/- 17 kilometers, ground track repeat accuracy of 20 km at the Equator with a repeat cycle less than 20 days, and ascending equator crossing time of 1330 +/- 10 minutes. [Priority 1]"
2019_jpss_WEB,JPSS-1 shall be Category 1 per NASA Procedural Requirements (NPR) 7120.5 and the risk classification shall be B per NPR 8705.4. [Priority 1]
2019_jpss_WEB,"The JPSS-1 satellite shall be launched on an expendable launch vehicle of risk category 2 or higher, per NASA Policy Directive (NPD) 8610.7. [Priority 1]"
2019_jpss_WEB,"JPSS-1 shall provide command, real-time and stored mission and telemetry data transmission to TDRSS. [Priority 1]"
2019_jpss_WEB,"JPSS-1 shall provide a real-time X-band direct broadcast of instrument data to the direct readout community (i.e., High Rate Data (HRD)). [Priority 3]"
2019_jpss_WEB,"On a 30-day basis, at least 99% of the data collected by operational sensors on the JPSS-1 satellite shall be delivered to the data processing system. [Priority 1]"
2019_jpss_WEB,The JPSS-2 satellite shall be designed for a mission life of 7 years. [Priority 1]
2019_jpss_WEB,"JPSS-2 shall be operated in a polar sun-synchronous orbit with the following characteristics: altitude of 824 +/- 17 kilometers, ground track repeat accuracy of 20 km at the Equator with a repeat cycle of 16 days, and ascending equator crossing time of 1330 +/- 10 minutes. [Priority 1]"
2019_jpss_WEB,JPSS-2 shall be Category 1 per NASA Procedural Requirements (NPR) 7120.5 and the risk classification shall be B per NPR 8705.4. [Priority 1]
2019_jpss_WEB,"The JPSS-2 satellite shall be launched on an expendable launch vehicle of risk category 2 or higher, per NASA Policy Directive (NPD) 8610.7. [Priority 1]"
2019_jpss_WEB,JPSS-2 shall provide Ka-band stored mission and telemetry data transmission from the satellite to the ground acquisition sites. [Priority 1]
2019_jpss_WEB,"JPSS-2 shall provide a real-time X-band direct broadcast of instrument data to the direct readout community (i.e., High Rate Data (HRD)). [Priority 3]"
2019_jpss_WEB,"On a 30-day basis, at least 99% of the data collected by operational sensors on the JPSS-2 satellite shall be delivered to the data processing system. [Priority 1]"
2019_jpss_WEB,The JPSS-3 satellite shall be designed for a mission life of 7 years. [Priority 1]
2019_jpss_WEB,"Excluding on-orbit failures, JPSS-3 shall maintain an Operational Availability of greater than or equal to 98% over any 30 day period for the mission lifetime. [Priority 1]"
2019_jpss_WEB,"JPSS-3 shall be operated in a polar sun-synchronous orbit with the following characteristics: altitude of 824 +/- 17 kilometers, ground track repeat accuracy of 20 km at the Equator with a repeat cycle of 16 days, and ascending equator crossing time of 1330 +/- 10 minutes. [Priority 1]"
2019_jpss_WEB,"The JPSS-3 satellite shall be launched on an expendable launch vehicle of risk category 2 or higher, per NASA Policy Directive (NPD) 8610.7. [Priority 1]"
2019_jpss_WEB,JPSS-3 shall provide Ka-band stored mission and telemetry data transmission from the satellite to the ground acquisition sites. [Priority 1]
2019_jpss_WEB,"JPSS-3 shall provide command, real-time and stored mission and telemetry data transmission to TDRSS. [Priority 1]"
2019_jpss_WEB,"JPSS-3 shall provide a real-time X-band direct broadcast of instrument data to the direct readout community (i.e., High Rate Data (HRD)). [Priority 3]"
2019_jpss_WEB,"On a 30-day basis, at least 99% of the data collected by operational sensors on the JPSS-3 satellite shall be delivered to the data processing system. [Priority 1]"
2019_jpss_WEB,The JPSS-4 satellite shall be designed for a mission life of 7 years. [Priority 1]
2019_jpss_WEB,"Excluding on-orbit failures, JPSS-4 shall maintain an Operational Availability of greater than or equal to 98% over any 30 day period for the mission lifetime. [Priority 1]"
2019_jpss_WEB,"JPSS-4 shall be operated in a polar sun-synchronous orbit with the following characteristics: altitude of 824 +/- 17 kilometers, ground track repeat accuracy of 20 km at the Equator with a repeat cycle of 16 days, and ascending equator crossing time of 1330 +/- 10 minutes. [Priority 1]"
2019_jpss_WEB,JPSS-4 shall be Category 1 per NASA Procedural Requirements (NPR) 7120.5 and the risk classification shall be B per NPR 8705.4. [Priority 1]
2019_jpss_WEB,"The JPSS-4 satellite shall be launched on an expendable launch vehicle of risk category 2 or higher, per NASA Policy Directive (NPD) 8610.7. [Priority 1]"
2019_jpss_WEB,JPSS-4 shall provide Ka-band stored mission and telemetry data transmission from the satellite to the ground acquisition sites. [Priority 1]
2019_jpss_WEB,"JPSS-4 shall provide command, real-time and stored mission and telemetry data transmission to TDRSS. [Priority 1]"
2019_jpss_WEB,The JPSS ground segment shall have an operational life through at least FY 2038. [Priority 1]
2019_jpss_WEB,The JPSS shall comply with the NOAA/NESDIS Policy for Continuity of Operational Polar Orbiting Environmental Satellite Observations. [Priority 1]
2019_jpss_WEB,The JPSS shall produce and make available one complete set of data products identified in Appendix A from the primary mission sensors to ESPC Registered Users. [Priority 1]
2019_jpss_WEB,The JPSS shall produce and make available one complete set of mission unique data products identified in Appendix A from the secondary mission sensors to ESPC Registered Users. [Priority 1]
2019_jpss_WEB,The JPSS shall support EUMETSAT missions per the International Joint Polar System Agreement (JPS). [Priority 1]
2019_jpss_WEB,"The JPSS primary command and control and data processing site shall be located at the NOAA Satellite Operations Facility (NSOF) in Suitland, MD. [Priority 1]"
2019_jpss_WEB,"The JPSS alternate command and control and data processing site shall be located at the Consolidated Backup (CBU) Facility in the Vertex Center in Fairmont, WV. [Priority 1]"
2019_jpss_WEB,"The JPSS Alternate Processing Center shall make available the specific data products identified in Appendix A, from all sensor science data acquired from the primary mission sensors to the CLASS and to ESPC Authorized APC Users that require access for supporting minimum mission essential functions. [Priority 1]"
2019_jpss_WEB,"On a 30-day basis, data latency requirements, as specified in Appendix A, Table 1 and Table 1.1, shall be met at least 95% of the time for data collected by the primary operational sensors on the JPSS [Priority 1] and GCOM [Priority 3] satellites."
2019_jpss_WEB,The JPSS shall comply with NOAA information technology security policies and procedures. [Priority 1]
2019_jpss_WEB,"The JPSS shall acquire at least 99%, on a 30-day basis, of sensor science data from GCOM-W satellites and relay it to JAXA. [Priority 2]"
2019_jpss_WEB,The JPSS shall have the capability to make data available for long-term archive and storage in accordance with NOAA policy for the Management of Environmental Data and Information. [Priority 2]
2019_jpss_WEB,The JPSS shall support the capability for management of mission constellation operations. [Priority 2]
2019_jpss_WEB,The JPSS shall make available all sensor science data acquired to the NASA Science Data Segment (SDS) service delivery point at the NSOF. [Priority 3]
2019_jpss_WEB,"The JPSS shall provide the Direct Readout community with software, documentation, and periodic updates to enable civilian and military agencies to produce data products from JPSS, using their own hardware to receive the JPSS High Rate Data (HRD) broadcast. [Priority 3]"
2021_tmt_ord_WEB,The TMT Observatory shall provide allocation process tools to be used by the partners.
2021_tmt_ord_WEB,The TMT Observatory shall provide partner-share time accounting tools to be used by the partners.
2021_tmt_ord_WEB,The TMT Observatory shall create and manage a master schedule based on output from partner-based TAC processes.
2021_tmt_ord_WEB,The TMT observatory shall support service observing and proposal process.
2021_tmt_ord_WEB,The TMT Observatory shall implement and manage a telescope scheduling process.
2021_tmt_ord_WEB,The TMT Observatory shall implement a time accounting process for each schedule program.
2021_tmt_ord_WEB,The TMT Observatory shall implement a proposal submission process that accommodates multi-partner collaborations and allows shared observing programs.
2021_tmt_ord_WEB,The TMT Observatory at the first light stage shall provide as a minimum two observing modes: Visitor Observing Mode and Service Observing Mode.
2021_tmt_ord_WEB,The TMT Observatory in Visitor Observing Mode shall assign specific blocks of time that are no shorter than one half night.
2021_tmt_ord_WEB,The TMT Observatory shall provide the following 2 observing scenarios:
2021_tmt_ord_WEB,The TMT Observatory shall provide remote observing (from sea-level headquarters (HQ) or other physical location (TBC).
2021_tmt_ord_WEB,"The TMT Observatory shall provide a physical presence, only when physical presence at the summit is essential (in commissioning or AIVs)."
2021_tmt_ord_WEB,The TMT Observatory shall support remote observing using hardware and software systems certified by TMT.
2021_tmt_ord_WEB,The TMT Observatory shall execute service observing on behalf of PIs from a combined list of observing blocks from all partners via a scheduling process over six month periods.
2021_tmt_ord_WEB,The TMT Observatory shall implement an adaptive scheduling process for all partners.
2021_tmt_ord_WEB,The TMT Observatory shall implement an eavesdropping mode that allows the PI to connect remotely during their observation window.
2021_tmt_ord_WEB,The TMT Observatory shall provide a service observing mode that includes synoptic and cadence observations.
2021_tmt_ord_WEB,The TMT Observatory in Visitor and Service Observing Modes shall implement a Target of Opportunity Observation process.
2021_tmt_ord_WEB,The TMT Observatory shall enable real-time selection and execution of observations with flexibility in response to changing conditions and ongoing observations.
2021_tmt_ord_WEB,"The TMT Observatory shall provide the means to coordinate, schedule, and execute observations."
2021_tmt_ord_WEB,The TMT Observatory shall implement a process that allows an OB to be verified offline and prior to observing to determine that it is executable and compliant with standard TMT procedures.
2021_tmt_ord_WEB,The TMT Observatory shall implement an observing backup process to prepare and execute backup programs for visitor observing modes in the event that weather conditions or technical failures prevent the planned observation from taking place.
2021_tmt_ord_WEB,TMT Observatory shall acquire an object from anywhere on the sky within five (5) minutes.
2021_tmt_ord_WEB,The TMT Observatory shall acquire the field on an instrument focal plane within 3 minutes once the telescope is in position.
2021_tmt_ord_WEB,"The TMT Observatory shall change from one instrument to another instrument already installed on the telescope, or perform a major instrument reconfiguration, in less than 10 minutes, starting from the end of an observation in one instrument to the start of an observation in the other."
2021_tmt_ord_WEB,The TMT Observatory shall develop an automated target acquisition and system configuration process tailored for each instrument.
2021_tmt_ord_WEB,The TMT Observatory shall track and record times of target acquisition and system configuration.
2021_tmt_ord_WEB,"The TMT Observatory, in steady-state operations, shall have no more than 3% (equivalent to 91 hours per year) unscheduled technical downtime between the end of evening nautical twilight and the start of morning nautical twilight during hours scheduled for science operations."
2021_tmt_ord_WEB,The TMT Observatory available science time on the telescope for observing planning purposes shall be assumed to be 50% of time for seeing limited observations and 50% of the time for diffraction limited observations (using AO).
2021_tmt_ord_WEB,"Unless undergoing maintenance or commissioning, TMT Observatory instruments shall be ready for use, including being powered and with their operating parameters including temperature in the required ranges."
2021_tmt_ord_WEB,The TMT Observatory shall monitor operational metrics to identify potential improvements and monitor observing efficiency and other telescope performance metrics.
2021_tmt_ord_WEB,The TMT Observatory shall monitor the delivered data quality and system throughput in focal plane of the science instruments as well as at other locations related to wavefront sensors and guiding units.
2021_tmt_ord_WEB,TMT shall operate with segments missing from the primary mirror or segments removed from the overall control loop.
2021_tmt_ord_WEB,"The TMT Observatory shall provide a proposal and observation process that at a minimum includes instrument simulators; exposure time calculators (including overheads); multi-object mask definition tool; data reduction software, calibration plan and AO simulator support."
2021_tmt_ord_WEB,The TMT Observatory shall implement a Web portal for the purposes of organizing all information the observatory wishes to present to its user community.
2021_tmt_ord_WEB,The TMT Observatory shall develop and maintain an electronic user helpdesk with the primary goal of helping users prepare and execute observations.
2021_tmt_ord_WEB,The TMT Observatory Helpdesk shall include at a minimum:
2021_tmt_ord_WEB,The TMT Observatory Helpdesk shall include a method for submitting questions to the TMT Observatory.
2021_tmt_ord_WEB,The TMT Observatory Helpdesk shall include a system for managing and responding to questions submitted by users
2021_tmt_ord_WEB,"The TMT Observatory Helpdesk shall include a Web-based, user-driven but staff monitored forum (discussion group) section"
2021_tmt_ord_WEB,The TMT Observatory Helpdesk shall include a Frequently Asked Questions (FAQ) area.
2021_tmt_ord_WEB,The TMT observatory shall provide Graphical user interfaces (GUIs) for all normal scientific and technical operations.
2021_tmt_ord_WEB,The TMT observatory shall provide observer interfaces that are as simple as possible.
2021_tmt_ord_WEB,The TMT observatory in steady operations shall not allow observers to modify low-level technical settings.
2021_tmt_ord_WEB,The TMT observatory shall provide a master monitor that shows TMT subsystem status and alarms.
2021_tmt_ord_WEB,The TMT observatory shall digitally encode and record data delivered to the surface of the science detectors.
2021_tmt_ord_WEB,"The TMT Observatory shall store science data in a searchable repository of raw observations, calibrations, headers and metadata, and made available on-line."
2021_tmt_ord_WEB,The TMT observatory storage systems shall provide sufficient storage to retain the science data and associated calibration data for the life of the observatory.
2021_tmt_ord_WEB,The TMT observatory science data and metadata shall support enforcement of a proprietary period after delivery to the PI.
2021_tmt_ord_WEB,The TMT observatory science data and metadata shall be made accessible to the worldwide community after the standard proprietary period is over.
2021_tmt_ord_WEB,"The TMT observatory science data shall be compatible with, or transferrable to, Virtual Observatory (VO) standards and data structures."
2021_tmt_ord_WEB,The TMT observatory shall support access control and search criteria for planned use cases and the expected observatory user types.
2021_tmt_ord_WEB,The TMT Observatory shall provide data reduction disk space and computing capability on remotely accessible observatory computers.
2021_tmt_ord_WEB,"The TMT observatory science and/or calibration data shall be processed by TMT Observatory for the following reasons: to confirm target acquisition before observation begins; and to assess data quality (e.g. signal-to-noise ratio, delivered image quality in science instrument focal plane) during observation and as part of observatory system performance monitoring program."
2021_tmt_ord_WEB,The TMT observatory shall deliver for each instrument self-contained data processing software modules that meet the requirements of [REQ-0-OPSRD-2405].
2021_tmt_ord_WEB,The TMT Observatory processing pipelines shall use the data processing modules produced for each of the instruments.
2021_tmt_ord_WEB,"The TMT Observatory processing pipelines shall be used for quick-look reductions, target acquisition during observing and system performance monitoring."
2021_tmt_ord_WEB,The TMT Observatory in steady-state science operations shall minimize the amount of night time needed for acquiring calibration data.
2021_tmt_ord_WEB,The TMT Observatory Day time calibrations shall be scheduled in conjunction with other technical work on the telescope and be unaffected by background lighting or other disturbances.
2021_tmt_ord_WEB,The TMT Observatory AO system night time calibration shall consume no more than 1% of the scheduled observing time.
2021_tmt_ord_WEB,The TMT Observatory shall perform during the daytime as many of the needed calibration activities for Instruments as possible.
2021_tmt_ord_WEB,"Where possible, the TMT Observatory shall execute on-sky calibration between the beginning of nautical twilight sunrise and the sunset and the end of nautical twilight."
2021_tmt_ord_WEB,The TMT Observatory calibrations data shall be available to all users and have no proprietary period.
2021_tmt_ord_WEB,The TMT Observatory shall enable operations of multiple instruments in parallel for the purposes of instrument configuration and calibration.
2021_tmt_ord_WEB,The TMT Observatory performance monitoring on-sky calibrations shall be made available for science calibration and accounted under general technical time.
2021_tmt_ord_WEB,The TMT Observatory additional calibration data shall be considered public information.
2021_tmt_ord_WEB,"The TMT Observatory shall design, install and maintain a site condition monitoring system."
2021_tmt_ord_WEB,The TMT Observatory shall monitor and record external site conditions from at least one position outside within the TMT site sub-lease area.
2021_tmt_ord_WEB,"The TMT Observatory site monitoring shall measure as a minimum air temperature, humidity, pressure, wind speed, wind direction, cloud cover and optical turbulence."
2021_tmt_ord_WEB,The TMT Observatory shall provide supplementary information about atmospheric conditions from the AO systems or instrument wavefront sensors (WFS).
2021_tmt_ord_WEB,The TMT Observatory site conditions data shall be made available locally in real-time at the summit and remote control rooms and stored in the observatory database.
2021_tmt_ord_WEB,The TMT Observatory subsystems (including instruments) are required to produce status and diagnostic telemetry for the purposes of performance monitoring and failure analysis.
2021_tmt_ord_WEB,The TMT Observatory shall be capable of storing all technical data that is necessary for operations for the lifetime of the observatory.
2021_tmt_ord_WEB,The TMT Observatory in the construction phase shall provide technical data storage capacity and software capabilities for 5 years of operations.
2021_tmt_ord_WEB,The TMT Observatory shall have redundancy of the technical database with the provision in mind that one will survive in the event of a local catastrophe.
2021_tmt_ord_WEB,The TMT Observatory shall define which telemetry data is stored.
