,doi,abstract,volume,issue
0,https://doi.org/10.2514/1.J057272,"A theoretical model is developed to describe the acoustic characteristics of plane ultrasonic acoustic waves impinging on a porous coating, namely, a rigid surface periodically corrugated with subwavelength grooves (two-dimensional cavities). The proposed model takes into account the high-order diffracted modes, and therefore incorporates mutual coupling among neighboring cavities. The model predicts a reflection frequency consistent with the numerical results and reproduces a coupling mode induced by interactions between waves scattered from adjacent cavities. With this model, the cavity geometry parameters are optimized to achieve the minimum reflection coefficient. The result shows that the Mack second mode is strongly suppressed and that the maximum fluctuating pressure decreases by about 88% upon using the optimized porous coating in a Mach 6 flat-plate flow.",56,8
1,https://doi.org/10.2514/1.J056776,"An innovative schlieren system design is introduced using two off-the-shelf telescopes instead of large, expensive lenses or mirrors. Schlieren is used in combination with a high-speed camera to investigate the internal dynamics of sweeping jet actuators. These devices are of particular interest due to their great success in active flow control applications for aerodynamic purposes. Their working principle based on schlieren images is discussed in detail based on a first model. An extended theory based on nondimensional frequency and jet velocity is introduced. A second model consisting of two adjacent sweeping jet actuators is investigated on their interaction characteristics by tracking their motion in the acquired schlieren images and the subsequent analysis of the relative deflection of the jets using fast Fourier transform, phase information, and the Hilbert transform. This is performed for multiple separation distances and two pressure ratios, leading to an underexpanded exit jet and a transonic jet. Last, the probability distribution of the deflection angles for both cases is discussed.",56,8
2,https://doi.org/10.2514/1.J056841,"Active flow control (AFC) in the form of sweeping jet (SWJ) excitation and discrete steady jet excitation is used to control the flow separation on a National Advisory Council for Aeronautics (NACA) 0015 semispan wing with a deflected, simple-hinged, trailing edge flap. This geometry has been the focus of several recent publications that investigated methods to improve the efficiency of SWJ actuators. In the current study, the interaction of the AFC excitation with the separated flowfields of several flap deflection angles was examined. Previous studies with this model have been limited to a maximum flap deflection angle of 40 deg. The flap deflection range was extended to 60 deg because systems studies have indicated that a high-lift system with simple-hinged flaps may require larger flap deflections than the Fowler flaps found on most high-lift systems. The results obtained at flap deflection angles of 20, 40, and 60 deg are presented and compared. Force and moment data, particle image velocimetry (PIV) data, and steady and unsteady surface pressure data are used to describe the flowfield with and without AFC. With a flap deflection of 60 deg, increasing the SWJ actuator momentum at the flap shoulder increased lift due to an increase in circulation but did not completely eliminate the recirculation region above the flap surface. AFC using the discrete steady jet actuators of this study increased lift as well but required more mass flow than the SWJ actuators and had a detrimental effect on lift at the highest mass flow level tested. PIV results showed that the angle between the excitation and the flap surface was not optimal for attaching the separated shear layer.",56,8
3,https://doi.org/10.2514/1.J056720,"Dynamic stall represents a challenge in a number of engineering applications including rotorcraft, maneuvering aircraft, gust encounters, and wind turbines. Delay of the onset of dynamic stall and mitigation of its undesirable transient loading effects have been sought in the past five decades employing a number of passive and active flow control techniques. Development of improved flow control approaches requires the detailed characterization of the underlying boundary-layer processes preceding the onset of abrupt unsteady separation. Such information is difficult to acquire experimentally, given the spatial and temporal resolution requirements and the difficulties encountered with near-wall measurements over a moving wing. In this regard, modern computational approaches offer a complementary research tool for advancing active flow control. In the present paper, a flow control strategy for the delay of dynamic stall on a pitching airfoil is developed and demonstrated, employing high-fidelity wall-resolved large-eddy simulations and stability analysis. The point of departure is a detailed analysis of the uncontrolled dynamic stall case revealing the critical role played by the laminar separation bubble (LSB). This observation motivated the exploration of very high-frequency [] actuation targeting the convective instabilities present in the LSB. Provided that the imposed forcing frequency or its harmonics are high enough for amplification within the LSB, very small forcing amplitude is required for control effectiveness. This approach, guided by linear stability theory and detailed flowfield information, is successfully demonstrated for the delay of dynamic stall over a pitching NACA 0012 wing section.",56,8
4,https://doi.org/10.2514/1.J056782,The stability and steering of nonspinning airborne bodies of revolution have traditionally relied on stationary or moving fins that affect controlled interactions with the oncoming flow to modify the inherent aerodynamic loads. An alternative approach for manipulation of these loads in the absence of external control surfaces can be realized by exploiting the reciprocal coupling between a moving bluff body and its near wake by either breaking or restoring the natural azimuthal near-wake symmetry using segmented fluidic actuation. The present paper reviews fluidic actuation of the near-wake dynamics by using an azimuthally segmented four-quadrant array of aft-facing synthetic jet modules around the tail end of an axisymmetric bluff-body model. Each actuator controls a segment of the aft separated vorticity layer using a hybrid configuration with a passive Coanda surface. The actuation allows for controlled suppression or enhancement of near-wake asymmetries and consequently of the associated aerodynamic forces and moments on a stationary model and in rigid-body motion. It is shown that the effects of actuation on the near-wake and aerodynamic loads of the static body are comparable to the effects of its combined pitch and yaw motions in the absence of actuation. The actuation provides significant suppression and augmentation of the motion-induced aerodynamic loads with concomitant controlled deflection or decoupling between the motions of the body and its near wake. It is anticipated that controlled manipulation of these fundamental coupling mechanisms can lead to active control of the motion and stability of flight platforms.,56,8
5,https://doi.org/10.2514/1.J056842,"Vane-type vortex generators have proven to be well suited for passive aerodynamic control through their substantial increase in near-wall momentum. As a structurally strong variance for durable use in low-speed airfoil and turbine applications, this study looks experimentally into the low-profile triangular convergent riblet element (consisting of two short convergent vanes of triangular cross sections with 30 deg half-intervane angles) in incompressible laminar flow. The flow organization and instability within the wake of isolated vortex generators are thus investigated using hot-wire measurements over a length of downstream of the element, where is the local boundary-layer thickness. A preliminary analysis serves first to characterize the effect of the isolated element height across height adjustments for rectangular cross-section elements. A selection of three triangular element heights is subsequently investigated in detail, undergoing the following: 1) with , longitudinal vortices are found to remain quasi steady and with eventual disturbance attenuation; 2) with , the wake starts exhibiting strong fluctuations as it approaches critical conditions; and 3) with , transition to turbulence takes place close behind the element. The switch from a varicose to a sinuous wake instability for low-profile (near-critical) configurations places the transition onset within the region of strong lateral shear.",56,8
6,https://doi.org/10.2514/1.J056272,"Regarding space missions, electric propulsion efficiency is a hot topic due to the development of microsatellites. However, ablative pulsed plasma thrusters, which were the first electric propulsion devices, suffer from low efficiency (less than 10%). In this study, a double-discharge ablative pulsed plasma thruster that allocates the total energy to two capacitors and discharges at different locations was designed to improve the efficiency of these thrusters. The performance of the double-discharge ablative pulsed plasma thruster was calculated based on experimental results under four different working conditions. The results showed that the double-discharge ablative pulsed plasma thruster performance was significantly improved relative to that of a regular ablative pulsed plasma thruster, in which the total energy is stored in a single capacitor. When the total energy remains constant (2.25 J), as the energy allocated to the secondary capacitor increases, the thrust efficiency and specific impulse increased significantly, respectively. Finally, theoretical analysis combined with the experimental results revealed the successful separation of the ablation–ionization and acceleration processes for the double-discharge ablative pulsed plasma thruster, contributing to the improvement of its performance. This research provides a reference for the design of high-performance ablative pulsed plasma thrusters.",56,8
7,https://doi.org/10.2514/1.J056382,"The objective of the present study is to investigate the capability of field-programmable gate array hardware in numerical simulation of a model of a dielectric barrier discharge plasma actuator to accelerate the calculations. The reconfigurable hardware is designed such that it is possible to reprogram its architecture after manufacturing. This provides the capability to design and implement various architectures for several applications. Two reconfigurable chips are used in the present study, one of which consists of a programmable logic unit and a typical microprocessor. This hybrid architecture makes the high performance of the reconfigurable hardware in custom computing and the efficiency of the microprocessor in data flow control accessible. An automated design procedure is used for the design of the reconfigurable hardware. Further, a finite difference representation of a phenomenological model of a plasma actuator is derived and implemented on the field-programmable gate array hardware. The results are validated against other numerical data, and the computational time is compared to different conventional processors. Using the reconfigurable hardware results in up to 96% computational time reduction compared to a recent Core i7 processor.",56,8
8,https://doi.org/10.2514/1.J055821,"A numerical study of a laser-induced plasma ignition system in a scramjet-like geometry is conducted. Simulations are based on experiments in which hydrogen is injected into a hypersonic air-crossflow, compressed by a ramp from a freestream Mach number of 8 to below hydrogen autoignition conditions. Ignition of the jet is attempted using a laser pulse, modeled in the simulations as a small region of high temperature and pressure corresponding to the energy input measured in the experiments. To capture the highly unsteady nature of the fuel-air interface and its coupling with the dynamics of the expanding laser spark, wall-modeled large-eddy Simulations are used to resolve the majority of turbulent motion. Thermal nonequilibrium and detailed finite-rate chemistry models are included in the calculations. The simulations indicate that the cloud of hydroxyl radicals detected in the experiments is created on the jet’s forward surface, as the expanding plasma kernel drives a blast wave into the bowshock surrounding the jet. This event raises the temperature and pressure in the upstream mixing layer, causing spontaneous ignition of the mixture. Within tens of microseconds the laser-induced combustion detaches from the jet and combustion ceases due to unfavorable conditions for flame anchoring in this area. Downstream of the jet, the simulations suggest that the plasma kernel remains can initiate radical formation in the wake region, but no stable flame forms due to nominally low pressures in the experimental condition studied.",56,8
9,https://doi.org/10.2514/1.J056620,"An accurate surrogate model is capable of reproducing high-fidelity results at a fraction of the computational cost. coKriging is an efficient method for constructing surrogate models when two levels of fidelity (low and high) tools are available. This paper extends the functionality of coKriging. First, a practical implementation to high-dimensional output functions is developed by introducing POD-coKriging. Second, coKriging is reformulated to allow different sizes of input/output variables between low- and high-fidelity tools. The extended POD-coKriging method is validated against an analytical problem, and its performance for high-dimensional output functions is demonstrated with the prediction of surface pressure distribution on a two-dimensional deflected panel in hypersonic flow. Finally, properties of the extended POD-coKriging were used to estimate the total cost reduction of sample generation, and it is shown that an order-of-magnitude cost reduction is achievable for practical cases.",56,8
10,https://doi.org/10.2514/1.J056789,"A computational model is developed using a delayed detached-eddy simulation to examine the various aspects of shock-wave/vortex interactions, in which the specific case of naturally formed bow shock wave generated during a sonic injection into a supersonic crossflow is considered. The model is validated by comparing with experimental results obtained previously and is deployed to investigate the effects of shock/vortex interaction on mixing characteristics of supersonic flows. A vortex generator, in the form of a semispan wing section, is placed at an angle of attack upstream of an injection location. The resultant vortex interacts with the bow shock, and for a sufficiently strong interaction, there is breakdown of the supersonic vortex. The vortex bursting observed during the computational study is in a very good agreement with a previous physical model. The computational results demonstrate that the shock/vortex interaction can be an effective method of mixing enhancement because it results in redistribution and increase of vorticity in the flowfield, which enhances the entrainment and eventual mixing of injectant and supersonic crossflow.",56,8
11,https://doi.org/10.2514/1.J056404,"To reduce the numerical dissipation in turbulence modeling while maintaining the numerical stability around flow discontinuities in supersonic flowfield, a low-dissipative compressible solver is developed for large-eddy simulation within the OpenFOAM framework. To achieve the aforementioned goals, the low-dissipative solver adopts the hybrid scheme approach through combining the dissipative Kurganov–Tadmor scheme with the nondissipative central scheme via a shock sensor. In the construction of the central scheme, a robust skew-symmetric form of the convective term is adopted to preserve the local kinetic energy without adding an explicit dissipative term. Another feature of the low-dissipative solver is the implementation of an optimal explicit strong stability-preserving linear third-order total variation diminishing Runge–Kutta method for the temporal discretization. Numerical tests for a series of canonical flow problems are carried out to validate the solver’s good performance in the flowfield either with strong discontinuities or with continuous spectrum characteristics. Large-eddy simulation of a scramjet combustor with supersonic airstream passing over the flame holder is conducted to validate the low-dissipative solver’s reliability in a realistic flow with the complex interaction of shock discontinuities and turbulence.",56,8
