,doi,abstract,volume,issue
0,https://doi.org/10.2514/1.C033479,,52,4
1,https://doi.org/10.2514/1.C032864,"The Second AIAA CFD High-Lift Prediction Workshop was held in San Diego, California in June 2013. The goals of the workshop continued in the tradition of the first high-lift workshop: to assess the numerical prediction capability of current-generation computational fluid dynamics technology for swept, medium-/high-aspect-ratio wings in landing/takeoff (high-lift) configurations. This workshop analyzed the flow over the DLR-F11 model in landing configuration at two different Reynolds numbers. Twenty-six participants submitted a total of 48 data sets of computational fluid dynamics results. A variety of grid systems (both structured and unstructured) were used. Trends due to grid density and Reynolds number were analyzed, and effects of support brackets were also included. This paper analyzes the combined results from all workshop participants. Comparisons with experimental data are made. A statistical summary of the computational fluid dynamics results is also included.",52,4
2,https://doi.org/10.2514/1.C033158,"This paper summarizes Japan Aerospace Exploration Agency studies using a structured grid solver UPACS and an unstructured grid solver TAS-code for the second AIAA CFD High-Lift Prediction Workshop test cases and follow-on problems. Computations are performed for the grid convergence study using the configuration without any slat tracks and flap track fairings on a series of multi-block structured grids and a series of unstructured grids provided by the High Lift Prediction Workshop committee. In this paper, the following are mainly discussed: 1) grid convergence verification study of the turbulence models using a two-dimensional bump case, 2) grid convergence studies for Spalart–Allmaras and shear stress transport turbulence models using UPACS, 3) change of grid convergence and predicted flow fields with and without a nonlinear quadratic constitutive relation model for Spalart–Allmaras and shear stress transport turbulence models using UPACS including evaluation at higher angles of attack, and 4) comparison studies using different solvers UPACS and TAS on different grid systems with and without the quadratic constitutive relation model for the Spalart–Allmaras model.",52,4
3,https://doi.org/10.2514/1.C032899,"The results presented at the Second AIAA High-Lift Prediction Workshop, using the flow-solver Edge, are summarized for the DLR, German Aerospace Center F11 model. A comparative study of the results, using three turbulence models, is carried out, including the Spalart–Allmaras model, an explicit algebraic Reynolds-stress model, and a curvature correction to the explicit algebraic Reynolds-stress model. The comparisons include a grid-convergence study on a simplified model without slat- and flap-track fairings, and polar calculations including the fairings. The grid-convergence study shows relatively small differences due to different grid resolution and turbulence models, but the differences are larger than those obtained in the first workshop for the NASA trap wing. The prediction has fairly large discrepancies from experimental measurements at low Reynolds numbers for which the computations were carried out assuming fully turbulent flow. The explicit algebraic Reynolds-stress model (with or without curvature correction) tends to exaggerate flow separation and to underpredict the lift, as compared to the experiment. The Spalart–Allmaras model, on the other hand, overpredicts the lift at higher incidences. At the higher Reynolds number, the predictions agree well with the experimental measurements for different turbulence models. The curvature correction to the explicit algebraic Reynolds-stress model has an insignificant effect on the computed results in comparison with the explicit algebraic Reynolds-stress-model predictions.",52,4
4,https://doi.org/10.2514/1.C033143,"Numerical investigations of the DLR F11 high-lift configuration from the 2nd AIAA High-Lift Prediction Workshop are performed with the in-house solver MFlow. The solver is based on a cell-centered finite-volume method and is capable of handling various element types. Hexahedral grids and hybrid grids are used in the simulations. Grid-convergence properties, polar line, and pressure distributions are analyzed and compared with experimental data. A nearly linear convergence property is achieved with grid refinement for configuration 2, which is the most simplified configuration of the experiment model. When including slat and flap brackets (configuration 4), results are improved compared to the simplified configuration. However, delayed stall and larger maximum lift coefficient compared with experiment are found for high-Reynolds-number computations. The rotation correction of Spalart–Allmaras model does not lead to obvious improvement at high angles of attack. The effects of Reynolds number are qualitatively captured by the simulations. The inclusion of pressure-tube bundles causes loss of lift near stall and has little influence on predictions at lower angles of attack. The solver shows good agreement with experiment at lower angles of attack, but more attention is needed at angles of attack near and beyond stall.",52,4
5,https://doi.org/10.2514/1.C033042,"Simulation results for the second AIAA CFD High-Lift Prediction Workshop using the unstructured computational fluid dynamics code NSU3D are presented. The solution algorithms employed in NSU3D for this study are described along with examples of convergence history and computational cost. The geometry used for the simulation consists of the DLR-F11 wing–body with high-lift system deployed in a landing configuration. This geometry is representative of a modern transport aircraft high-lift system that has been tested experimentally over a suitable Reynolds number range. Results are presented from two sets of computational studies, the first performed at the University of Wyoming using standard workshop unstructured meshes, and the second performed at Bombardier Aerospace using in-house-generated meshes. In both cases, results are presented for two different turbulence models, allowing an assessment of the sensitivity of the results to grid densities, grid types, and turbulence models. Results consist of computed force and moment coefficients across a range of angles of attack and for two different Reynolds numbers, as well as surface pressure profiles and off-body velocity profiles, all of which are compared with experimental data. The results compare favorably with experimental data and generally fall within the standard deviation of the workshop collective results. Computations using the Spalart–Allmaras turbulence model tend to overpredict the maximum lift value and incidence, while results using the model tend to underpredict the maximum lift value. The best agreement in terms of force coefficients is observed with the turbulence model using the Bombardier internally generated meshes.",52,4
6,https://doi.org/10.2514/1.C033145,"The OVERFLOW Reynolds-averaged Navier–Stokes solver has been used to predict the aerodynamic characteristics of the DLR-F11 high-lift configuration for the conditions prescribed for the second AIAA Computational Fluid Dynamics High-Lift Prediction Workshop. A grid-convergence study is performed for the geometry with the slat and flap brackets excluded. The influence of including the brackets in the computational geometry is considered, and the effects of varying Reynolds number are analyzed for the brackets-on configuration. An optional case for the workshop, but a focus of this paper, is the inclusion of laminar–turbulent transition in the solutions. Two computational-fluid-dynamics-compatible transition models are used for the analysis, and their behaviors are discussed. A turbulence-model-verification study, which was also an optional case for the workshop, is included.",52,4
7,https://doi.org/10.2514/1.C033192,"Contributions of the unstructured Reynolds-averaged Navier–Stokes code FUN3D to the 2nd AIAA Computational Fluid Dynamics High-Lift Prediction Workshop are described, and detailed comparisons are made with experimental data. Using workshop-supplied grids, FUN3D results for the simplified high-lift configuration are compared with results from the structured code CFL3D. Using the same turbulence model, both codes compare reasonably well in terms of total forces and moment, and the maximum lift is similarly over-predicted for both codes compared to experiment. By including more representative geometry features such as slat and flap support brackets and slat pressure tube bundles, FUN3D captures the general effects of the Reynolds number variation, but under-predicts maximum lift on workshop-supplied grids in comparison with the experimental data due to excessive separation. However, when output-based, off-body grid adaptation in FUN3D is employed, results improve considerably. In particular, when the geometry includes both brackets and the pressure tube bundles, grid adaptation results in a more accurate prediction of lift near stall in comparison with the wind-tunnel data. Furthermore, a rotation-corrected turbulence model shows improved pressure predictions on the outboard span when using adapted grids.",52,4
8,https://doi.org/10.2514/1.C033164,"Numerical prediction of the aerodynamic properties of high-lift configurations has become an important topic for the computational fluid dynamics community in the last years. The present paper shows and discusses a numerical study of the DLR-F11 high-lift configuration that was used as a model reference in the Second High-Lift Prediction Workshop, organized by the AIAA in 2013. Case 1 of the workshop was simulated with the commercial software ANSYS Fluent v14.5, using the Spalart–Allmaras (fully turbulent Reynolds-averaged Navier–Stokes) model. Numerical results showed good agreement for angles of attack lower than 18 deg; however, above this value, simulations were not accurate enough near to . To study the influence of the turbulence model in the dynamics of the flow and the numerical prediction of the aerodynamic properties near to , the original grids were adapted and a hybrid Reynolds-averaged Navier–Stokes/large-eddy simulation model (detached-eddy simulation based on Spalart–Allmaras) was used. Numerical results for the detached-eddy simulation showed a small change in the prediction of the aerodynamic properties near to , as well as improved vorticity resolution in the wake.",52,4
9,https://doi.org/10.2514/1.C033219,"This paper presents the results of the computational-fluid-dynamics code XFlow for the test case proposed in the 2nd High-Lift Prediction Workshop. The target of this international workshop is to assess the accuracy of numerical predictions provided by a wide selection of computational-fluid-dynamics codes and applied to the aeronautical industry. It deals with a full aircraft in high-lift configuration with unstowed flap and slat, including slat tracks, flap track fairings, and slat pressure tube bundles. XFlow is a particle-based kinetic solver, based on the lattice Boltzmann method. It is well suited for such low-speed flows because the standard lattice Boltzmann method is limited to low Mach number. It employs large-eddy simulation turbulence modeling with the wall-adapting local eddy model, coupled with a generalized law of the wall to model the boundary-layer prediction. Traditional computational-fluid-dynamics software requires a time-consuming meshing process that is prone to errors, which significantly affects the mesh quality and thus the outcome of a simulation. Furthermore, the complex geometries such as elements in small gaps add an extra complication to generate the mesh. In contrast, the method employed by XFlow avoids the traditional meshing process using an octree structure, with spatial refinement related by a factor of 2 based on the input geometry. The discretization stage is strongly accelerated, thus reducing engineering costs and complex geometry computations are affordable in a straightforward way. The research presented in this paper starts with a grid validation study (case 1) with the DLR F11 geometry in configuration 2. Because the lattice Boltzmann method approach used by XFlow simplifies the integration of geometrical details, the full polar characteristic is directly investigated with configuration 5 (case 3) that includes the actual model configuration on the aerodynamic performances. The configuration 5 geometry includes slat tracks and flap track fairings, as well as slat pressure tube bundles. This is the highest-fidelity geometry in comparison with wind-tunnel testing. This study is conducted for both low- and high-Reynolds-number conditions, 1.35 and 15.1 million, respectively. In addition, the study focuses on the poststall region and the influence of geometrical details on turbulence and flow patterns. The interest for the poststall region is justified by the lack of consistency in the stall prediction found during the 2nd AIAA High-Lift Prediction Workshop by all the participants.",52,4
