,doi,abstract,volume,issue
0,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001011,"During the past few decades, various fluid–structure interaction (FSI) analysis approaches have been developed and applied to understand the physical processes related to a flexible flapping wing. In this paper, a dynamic shell analysis based on a corotational (CR) formulation is developed. Geometrically nonlinear dynamic shell formulation based on the CR framework is derived from Lagrange’s equation of motion. This brand new shell formulation is implicitly combined with a preconditioned Navier–Stokes solution for a relevant FSI analysis. Specifically, the shell analysis is extended to a multibody dynamic approach to facilitate the passive pitching motion of a flapping wing. The present analysis is validated by a comparison with the results from either previous analyses or experiments. The effect of a passive pitching motion on a flapping wing is also investigated. Finally, it is found that the presented dynamic shell analysis can enable accurate predictions, and the relevant passive pitching motion of a spanwise flexible wing may be advantageous for generating several aerodynamic loads that are applicable for the control forces of a micro aerial vehicle.",32,4
1,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001013,"A novel optimal sensor selection approach is developed in this paper. The key innovation of this work is in formulating the stochastic optimal sensor selection problem as a second-order convex program. The approach quickly determines the required optimal sensor specifications that meet mission navigation and trajectory dispersion requirements with the lowest sensor cost. The proposed approach combines linear covariance analysis with convex optimization to describe and solve the optimal sensor selection problem. First, the trajectory dispersion of the closed-loop guidance, navigation, and control (GN&C) system based on sensor specifications is modeled using linear covariance analysis theory. Then, the linear covariance propagation and update equations are used to formulate an optimal sensor selection problem using the Kronecker product. Second-order cone programming with successive approximation techniques are used to solve the established problem. Finally, a simple nonlinear closed-loop GN&C system is investigated, and the capabilities of the proposed approach are demonstrated. The simulations show that the optimal sensor selection problem can be described and solved efficiently using the proposed approach.",32,4
2,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001014,"Offset-feed elliptical aperture reflectors have better mechanical and electrical performance than circular aperture reflectors and are an inevitable trend for the future development of high-precision space-borne antennas. The surface mesh geometry is crucially important to ensure surface accuracy and effective aperture of mesh reflectors. This paper proposes a quadratic-curve method for mesh generation of elliptical aperture reflectors that can achieve an attractive pretension uniformity and large effective aperture. From the mechanical behavior point of view, the generated cable net is beneficial to the truss. First, the steps to generate the quadratic-curve cable net for elliptical aperture reflectors are proposed. Then, the nodal coordinates of cable net are optimized using a dynamic adjustment method of nodes. The numerical examples demonstrate the effectiveness of the proposed method.",32,4
3,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001005,"The problem of horizontal-plane tracking control of an omnidirectional, four vectored-thruster aerostat subjected to actuator failure is considered. The actuator failures result in the aerostat’s becoming underactuated, so that it can affect only surge force and pure yaw moment about the body center. To achieve accurate position control in the horizontal plane, direct position control is used instead of heading control. This mode of control is called degraded tracking control, in contrast to full authority control of the overactuated four vectored-thruster aerostat. This degraded tracking controller uses commanded yaw rate to track lateral position, and yaw moment to eliminate lateral position error; therefore, yaw angle is not directly controlled. To guarantee the stability of the yaw motion, a virtual reference point (VRP) tracking strategy is proposed, in which the VRP is used instead of the body center (BC) in position tracking. The VRP generates a negative compensated force in the surge direction, which makes the side-force and yaw moment have the same sign and thus ensures that the aerostat is in a stable tracking configuration. In addition, the VRP decreases the transmission ratio of commanded yaw rate to commanded lateral velocity, making the aerostat’s yaw motion vary slowly during the transitional phase so that steady position tracking is obtained.",32,4
4,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001022,"Strand corrosion can cause the flexural capacity deterioration of prestressed concrete (PC) beams. An analytical model incorporating the effects of strand cross-section reduction, material deterioration, concrete cracking, and bond degradation is proposed to predict the flexural capacity of corroded PC beams. The effect of flexural cracks is also included in the model. An equivalent bond stress concept is introduced to consider the effect of flexural cracks, which is further implemented into the flexural capacity prediction of corroded PC beams. The proposed model is validated by the experimental results collected from the previous studies. Results show that the proposed model can give an accurate prediction for the flexural capacity of corroded PC beams. Considering the effect of flexural cracks can improve the precision of the prediction model. The flexural capacity deterioration of PC beams depends on corrosion degree. Strand corrosion less than 5.5% can lead to a slight decrement of flexural capacity. As corrosion progresses the flexural capacity would exhibit a significant deterioration.",32,4
5,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001007,"This paper presents a numerical investigation of a concept for improving film cooling performance by setting a step upstream the transverse trench. The step, which is placed upstream the transverse trench, is used to modify the approaching boundary-layer flow and its interaction with coolant to improve the lateral spreading of coolant. Five different relative distances between the steps and transverse trenches (upstream distances) are investigated, including −20, 0, 5, 10, and 15 mm. The film cooling performance is evaluated at a density ratio of 0.97, with the blowing ratios ranging from 0.5 to 2.0. The numerical results of film cooling with an upstream step and the numerical results of film cooling with holes embedded in transverse trenches show an agreement with the experimental data when three-dimensional average Navier–Stokes equations are solved with the standard k-ε model. Detailed adiabatic cooling effectiveness and total pressure loss coefficients are simulated. Results obtained indicate that film cooling performance in the region downstream from the film hole is sensitive to upstream distances. In the case with an upstream distance of 0 mm, the lateral spreading of coolant is superior to that in other cases, which leads to a higher lateral adiabatic cooling effectiveness. The case with an upstream distance of 0 mm is a better choice when the improved lateral adiabatic cooling effectiveness and the reduced total pressure loss penalty are taken into account.",32,4
6,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001016,"Various measurements are now available for structural health monitoring (SHM) due to the fast development of sensory systems. Utilization of multitype measurements including local and global information for SHM has typically outperformed that of solo type measurements. However, the limited number of sensors for measurements hampers the effectiveness of SHM. Thus, response reconstruction at the locations of interest in which sensors are unavailable with limited measurements has drawn significant research attention. The Kalman filter (KF) is a powerful tool to estimate optimally the unknown state vector of a structure that has numerous applications in civil engineering. One main concern for KF is that it requires good estimates of the noise covariance information, which is generally difficult to determine. Therefore, this paper investigates the dual-type responses reconstruction by using the moving-window Kalman filter (MWKF) with unknown measurement noise covariance (MNC). The weighted average of the MNC was first evaluated by utilizing the moving-window estimation technique. Then the dual-type of measurements including strains and displacements were fused together to reconstruct the structural responses at unmeasured locations. Numerical and experimental investigations were conducted to verify the effectiveness and feasibility of the MWKF in dual-type response reconstruction. The results indicate that the MNC can be well estimated and the reconstructed responses agree well with the real or measured responses.",32,4
7,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001021,"The fuel-optimal rapid cooperative rendezvous problem between two spacecraft under finite thrust, based on the indirect method, was investigated and converted into a two-point boundary value problem (TPBVP) in this study by using Pontryagin’s maximum principle. First, normalization processing of initial costate variables with unknown scopes was carried out to restrict them on a unit hypersphere. The quantum particle swarm optimization (QPSO) algorithm was used to preliminarily search for the initial costate variables of the high-dimensional energy-optimal problem, and then the results obtained were further corrected by the sequence quadratic programming (SQP) algorithm. The preceding combinatorial optimization algorithm with normalization technique considerably increases the probability of finding the approximate initial values of the globally optimal solution. Based on these modified initial costates, the smooth energy-optimal results were transitioned to the desirable nonsmooth fuel-optimal results by the homotopy method. Through the combination of the preceding effective techniques, the following difficulties were successfully overcome: (1) The optimal control was a strongly nonlinear problem under continuous high thrust; (2) in a cooperative rendezvous, the terminal rendezvous orbit was unknown and the parameter variables were doubled, leading to high-dimensional control equations; and (3) the narrow convergence domain of the shooting function made the shooting process extremely sensitive to the initial guess of the costates. The simulation results demonstrate not only the feasibility of the indirect method in solving fuel-optimal cooperative rendezvous, but also the superiority over another orbit transfer optimization method, the hybrid method.",32,4
8,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001015,"Acoustic emission (AE) monitoring has been identified as one popular technique applicable for damage discrimination in composites. However, because the damage is not directly identified from the AE data, other nondestructive techniques are usually needed to further evaluate the damage. Moreover, there is no general guideline for AE monitoring in composites because of the unique AE signatures of each defect and the diverse properties due to varied material configurations. Therefore, this study aimed to develop a reliable method using advanced pattern-recognition techniques on AE data to identify damage modes exhibited in the glass fiber reinforced polymer (GFRP) coupons and composite systems with similar configurations. Three sets of GFRP laminate samples originated from a new fiber-reinforced polymer (FRP)–balsa wood composite bridge were tested to study critical failure modes such as fiber breakage, matrix cracking, delamination, and debonding. A methodology based on unsupervised pattern recognition was then developed. First, in order to eliminate uncorrelated AE features, the complete link hierarchical clustering algorithm and principal component analysis were used to preprocess the data and select a suitable subset of AE features for the clustering task. The unsupervised k-means clustering analysis was then applied to separate the date into several clusters and correlate each cluster to its corresponding failure mechanisms. After a reliable AE database was built for a typical sample of each test set, neural networks (NNs) based on multilayer perceptron (MLP) and support vector machine (SVM) algorithms were developed. Finally, the trained NNs were used for pattern recognition in samples with unknown damage modes. Most results conformed to the visual observation and thus led to the NN models with good performance. The developed network system was also applied on a full-scale GFRP bridge deck with a similar configuration, and the performance achieved further confirms the potential of the developed methodology for damage identification in full-scale structures.",32,4
9,https://doi.org/10.1061/(ASCE)AS.1943-5525.0001019,"Recently, a variety of nondestructive evaluation (NDE) approaches have been developed for health assessment and residual capacity estimation of timber structures. Among these methods, guided wave (GW)–based techniques are highly regarded as effective tools for potential use in real situations. Nevertheless, because it is hard to comprehensively grasp the behavior of wave propagation in a wood structure, existing NDE-based techniques mainly depend on an oversimplified hypothesis, which can result in inaccurate or even misleading results in practice. Understanding the complex behavior of GW propagation in wood structures and extracting appropriate information from captured GW signals is a key for successful assessments of in situ conditions of timber structures. This paper analyzes the existing feature extraction and damage detection algorithms, and proposes a novel approach based on an integration of wavelet packet transform (WPT) and ensemble empirical mode decomposition (EEMD) for extracting damage-sensitive patterns, and then a soft computing method like support vector machine (SVM) for pole condition identification. In the proposed method, GW signals measured from a multisensing system with pole health condition as the baseline are divided into a series of subfrequency bands based on WPT. Then EEMD is adopted to extract the intrinsic mode functions (IMFs) that possess the features extracted at corresponding subfrequency bands. Hence, the IMF component was segregated from the original signals of tested poles, and the IMF Shannon entropy was employed to build up the feature vector to effectively demonstrate the health condition. To decrease the size of the feature vector and avoid multiple collinearity among obtained patterns, principal component analysis was employed and entropy information in the feature vector was replaced with main principal components, which will be employed as input variables of the developed SVM model for identifying pole health condition. In order to reduce the assessment error of the SVM model, genetic algorithm was introduced to select optimal parameters in SVM. Finally, the performance of the proposed method was assessed using laboratory timber specimens on which the experimental tests were conducted.",32,4
