,source,reqs
0,1998 - themas.xml,The THEMAS system shall control t he heating and cooling units that are defined as part of the THEMAS system. The definitions of the individual heating and cooling systems reside in an initialization file. The system shall read this file and the definitions shall be derived from the initialization data in the file.
1,1998 - themas.xml,Initialization Data
2,1998 - themas.xml,The THEMAS system shall use the information contained in the initialization data file to determine which heating and cooling units are part of the THEMAS system. Ther e is one heating and cooling unit that corresponds to one thermostat in each of four quadrants on each of three floors of the office building.
3,1998 - themas.xml,Operational Parameters
4,1998 - themas.xml,Each thermostat shall have a unique identifier by which that thermostat is identified in the THEMAS system. This procedure will load these definitions into the THEMAS software.
5,1998 - themas.xml,Initialization Data
6,1998 - themas.xml,Each quadrant of each floor shall have a thermostat which is to be used to provide temperature data to the THEMAS system. The initialization file shall contain a unique identifier for each thermostat that the system is to monitor. These identifiers shall be read from the initialization file and loaded into the THEMAS system during the initialization process.
7,1998 - themas.xml,Operational Parameters
8,1998 - themas.xml,There shall be a maximum number of heating or cooling u nits that can be on at any given time. This procedure loads the maximum number of concurrently running units allowed.
9,1998 - themas.xml,Initialization Data
10,1998 - themas.xml,The maximum number of heating or cooling units that can run concurrently shall reside in an initialization file. The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.
11,1998 - themas.xml,Utilization Parameters
12,1998 - themas.xml,The trigger value is used in combination with the current temperature to determine when a heating or cooling unit shall be turned on or off.
13,1998 - themas.xml,Initialization Data
14,1998 - themas.xml,The trigger values shall reside in an initialization file. This procedure shall read the initialization file and establish the trigger value from the data in that file.
15,1998 - themas.xml,Operational Parameters
16,1998 - themas.xml,The THEMAS system shall ensure the temperature reported by a given thermostat shall not exceed a maximum deviation value of 3 degrees Fahrenheit.
17,1998 - themas.xml,Initialization Data
18,1998 - themas.xml,The overtemperature values shall reside in an initialization file. This procedure shall read the initialization file and establish the overtemperature value from the data in that file.
19,1998 - themas.xml,Operational Parameters
20,1998 - themas.xml,The THEMAS system shall only respond to temperatures that are within a reasonable value.
21,1998 - themas.xml,Initialization Data
22,1998 - themas.xml,The valid temperature range value shall reside in an initialization file. This procedure shall read the initialization file and establish the valid temperature range from the data in it.
23,1998 - themas.xml,Operational Parameters
24,1998 - themas.xml,"When the THEMAS system is initialized, it shall first turn off all the heating and cooling units. Then , it shall check all the thermostats and determine if any thermostat’s settings require a heating or cooling unit to be turned on back on."
25,1998 - themas.xml,Operational Parameters
26,1998 - themas.xml,"This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off all the units. It shall then read the current temperature values and current temperature settings of each thermostat. If the settings reflect a need for a heating or cooling unit to be turned o n, the process shall issue a request to turn on the appropriate unit. This determination shall be made in accordance with the rules outlined in section 3.1.4.1 and 3.1.4.2."
27,1998 - themas.xml,H/C Request
28,1998 - themas.xml,The THEMAS system shall only respond to temperatures from the thermostats that are within the specified valid range.
29,1998 - themas.xml,Operational Parameters Temperature Data
