,source,reqs
0,2005 - phin.xml,"Systems designed to support OM must offer configuration flexibility so that new data fields, entities, entity types and relationship types may be added to capture information unique to each particular health event."
1,2005 - phin.xml,"Systems supporting OM must support structured data entry for common forms and fields to ensure data integrity, validity, and standardization. A standardized data structure ensures that data mapping of common elements will only be necessary one time, rather than for each event."
2,2005 - phin.xml,"Systems supporting OM should support multiple deployment options (e.g., client server, disconnected, and potentially web based)."
3,2005 - phin.xml,Systems supporting OM should provide the ability for computers in disconnected mode to reconnect to a server to share OM data among other computers that operate in disconnected mode.
4,2005 - phin.xml,OM data should be synchronized so that all instances of OM applications working from the same server are able to share and use the same data.
5,2005 - phin.xml,Systems supporting OM should be able to electronically record and store data from remote devices that may be uploaded to an aggregating system.
6,2005 - phin.xml,"Systems supporting OM should be capable of using configurable, domain-specific vocabulary."
7,2005 - phin.xml,"The following high-level data requirements are necessary to ensure that the data being collected, analyzed, and reported to support OM are clearly defined."
8,2005 - phin.xml,"An entity is any being or object involved in a health event. Entities may be classified as a person, organization, location, animal, object, conveyance, event, or other organism. Each type of entity requires specific data to be collected."
9,2005 - phin.xml,"Systems supporting OM must have the capability to capture demographic data about persons involved in an OM investigation, including: Subject ID, name, address, date of birth, gender, phone number, race, ethnicity, and country of citizenship."
10,2005 - phin.xml,"Other descriptive details may be captured, such as occupation and work history."
11,2005 - phin.xml,"Systems supporting OM must have the capability to capture data about organizations (e.g., a local health department, a university, a professional association) involved in an OM investigation, including: organization name, location, and contact information."
12,2005 - phin.xml,"Systems supporting OM must have the capability to capture data about locations involved in an OM investigation, including: name (if applicable), type (e.g., floor, building, room, store), street address, city, state, zip code, country, GPS coordinates, and other specific details (e.g., a specific building on a campus, a business branch location, a local chapter’s meeting hall)"
13,2005 - phin.xml,"Systems supporting OM must have the capability to capture data about any animals involved in an OM investigation, including: type (dog, monkey, etc), age, gender, owner’s name and address, color, weight, and species. A Subject ID should also be collected for animals in an OM investigation. It may be a challenge to ensure unambiguous identification because demographic details of an animal are not easily identified; therefore, animals involved in investigations may need to be tagged."
14,2005 - phin.xml,"Systems supporting OM must have the capability to capture data for any object involved in an OM investigation, such as a letter, invoice, food item, or any object that cannot be classified as a “person, organization, place, or animal.” Collected data may include: name of the object, type, physical descriptors, address, identification number (e.g. serial number, package slip number), and relevant dates and times (e.g., invoice date, shipping date, packaging date)."
15,2005 - phin.xml,"Systems supporting OM must have the capability to capture data about any conveyance involved in an OM investigation, including: type of conveyance, route taken (e.g., flight number), etc."
16,2005 - phin.xml,"Systems supporting OM must have the capability to capture data about any public or private gathering of people (e.g., church social, ball game) involved in an OM investigation, including: time, location, nature of the event, etc."
